system,seed,cpu_mode,cpu_affinity_core,selected_checkpoint_source,selected_episode,selected_success_rate,selected_override_rate,selected_safety_violation_rate,final_checkpoint_safe,train_seconds,training_peak_rss_mb,eval_success_rate,eval_override_rate,eval_safety_violation_rate,test_success_rate,test_override_rate,test_safety_violation_rate,test_mean_episode_steps,test_n_steps,policy_us_mean,policy_us_p99,shield_us_mean,shield_us_p99,total_us_mean,total_us_p99
thermostat,69,aggressive,,safe_eval,700,1.0,0.001587945131427799,0.0,True,1284.8610246181488,233.3359375,1.0,0.0018576222435282839,0.0,1.0,0.0017832237497509465,0.0,501.9,100380,46.37122082088065,78.14088999999993,10.026615271966527,14.349099999999918,63.87855806933651,104.53009999999992
thermostat,70,aggressive,,safe_eval,700,1.0,0.0016160141792211855,0.0,True,1235.737125635147,244.94921875,1.0,0.001591849729385546,0.0,1.0,0.001849647078833234,0.0,470.36,94072,50.0779879028829,147.2586999999998,11.645705236414662,17.824,70.11777523598946,187.00659999999974
thermostat,71,aggressive,,safe_eval,1000,1.0,0.0016413153424814399,0.0,True,1286.209844827652,238.78125,1.0,0.0017326636296382822,0.0,1.0,0.0016810037188685625,0.0,532.42,106484,39.2401638180384,62.358169999999994,8.824255484392022,12.684,54.30849470342962,85.322
cruise,42,aggressive,,safe_eval,1200,1.0,0.021953896816684963,0.0,True,127.46609306335449,91.83203125,1.0,0.024096385542168676,0.0,1.0,0.022560631697687534,0.0,44.325,8865,57.861717428087985,96.32556000000051,16.185578454596726,45.59124000000885,84.5493417935702,221.3421600000003
cruise,43,aggressive,,safe_eval,1200,1.0,0.022031284423881914,0.0,True,134.32295989990234,91.5390625,1.0,0.021303792074989347,0.0,1.0,0.024110910186859555,0.0,41.475,8295,36.444211573236885,69.79319999999998,10.890096202531645,20.560799999999986,53.278077154912594,97.30639999999991
cruise,44,aggressive,,safe_eval,1700,1.0,0.020729684908789386,0.0,True,126.15270376205444,93.3359375,1.0,0.023239600278875203,0.0,1.0,0.022484541877459248,0.0,44.475,8895,54.71864935356942,97.54765999999964,15.753143788645307,103.57193999999987,80.38048611579539,206.30199999999982
cruise,45,aggressive,,safe_eval,1900,1.0,0.02190580503833516,0.0,True,110.52413725852966,92.68359375,1.0,0.023568230025925053,0.0,1.0,0.023060071486221606,0.0,43.365,8673,55.55763138475729,186.08380000000008,17.595414850686037,135.67568000000034,83.31146281563473,238.20640000000014
cruise,46,aggressive,,safe_eval,300,1.0,0.022138587558113793,0.0,True,130.0217957496643,92.08984375,1.0,0.023696682464454975,0.0,1.0,0.024142926122646065,0.0,41.42,8284,35.92241272332207,59.568700000000014,11.129802752293577,21.55820000000001,52.86836371318205,86.0681
cruise,47,aggressive,,safe_eval,1100,1.0,0.022055580061755623,0.0,True,128.98162388801575,92.59765625,1.0,0.02346316283435007,0.0,1.0,0.024018253872943436,0.0,41.635,8327,51.366060646091036,83.16686,13.80174156358833,31.874739999999978,74.20941731716104,121.52033999999999
cruise,48,aggressive,,safe_eval,800,1.0,0.021734405564007825,0.0,True,134.43186712265015,91.6171875,1.0,0.022999080036798528,0.0,1.0,0.02334267040149393,0.0,42.84,8568,37.01575840336134,71.1081,11.141977240896356,20.465299999999992,54.239256419234366,99.16099999999999
cruise,49,aggressive,,safe_eval,1000,1.0,0.021791239921551537,0.0,True,124.94415163993835,92.46875,1.0,0.02321262766945218,0.0,1.0,0.023677045104770925,0.0,42.235,8447,54.542471646738484,147.58413999999954,16.504093405942942,131.95559999999986,80.97491109269563,213.7749399999999
cruise,50,aggressive,,safe_eval,1700,1.0,0.02240645305848084,0.0,True,126.60921740531921,93.046875,1.0,0.023424689622862496,0.0,1.0,0.02346591575736243,0.0,42.615,8523,53.77673190191247,92.67720000000003,15.525733192537839,104.08160000000004,78.89956236067111,201.2180000000001
cruise,51,aggressive,,safe_eval,900,1.0,0.021381227282446014,0.0,True,112.31723928451538,92.3359375,1.0,0.024160425223483932,0.0,1.0,0.02323150191659891,0.0,43.045,8609,58.53702334765943,193.07672000000005,18.05748600302009,138.55244000000005,87.01435671971193,240.67000000000002
cruise,52,aggressive,,safe_eval,800,1.0,0.021800741225201658,0.0,True,131.04533457756042,92.40625,1.0,0.02505637684790779,0.0,1.0,0.02345215759849906,0.0,42.64,8528,37.33434826454034,68.24819999999998,11.345379104127579,21.742399999999922,54.7006855065666,97.71332999999994
cruise,53,aggressive,,safe_eval,1300,1.0,0.02224199288256228,0.0,True,135.25397610664368,91.984375,1.0,0.02226179875333927,0.0,1.0,0.022948938611589215,0.0,43.575,8715,29.894989672977623,52.86526000000003,9.078529661503156,17.982740000000007,43.656044979919685,77.70780000000016
