system,seed,cpu_mode,cpu_affinity_core,episodes,total_steps,success_rate,safety_violation_rate,override_rate,final_checkpoint_safe,policy_us_mean,policy_us_p95,policy_us_p99,shield_us_mean,shield_us_p95,shield_us_p99,total_us_mean,total_us_p95,total_us_p99,inference_peak_rss_mb,eval_seconds,test_seconds
cruise,45,aggressive,,200,8673,1.0,0.0,0.023060071486221606,True,51.53032318690188,54.754,65.02420000000004,15.961268303931744,16.522,32.01380000000001,75.72753176524847,87.65799999999999,97.57388000000005,75.8515625,1.2353742122650146,2.33309006690979
cruise,46,aggressive,,200,8284,1.0,0.0,0.024142926122646065,True,52.14531253017866,56.327,67.0104,15.552030902945438,16.260849999999998,31.439,76.2107318928054,89.08664999999999,149.50637000000006,76.25390625,1.3822429180145264,2.304156541824341
cruise,47,aggressive,,200,8327,1.0,0.0,0.024018253872943436,True,56.6036185901285,61.5637,82.3882,17.033148672991473,17.549999999999997,34.01619999999999,82.70869929146151,96.249,173.5635399999999,77.34375,1.3691015243530273,2.4818809032440186
cruise,48,aggressive,,200,8568,1.0,0.0,0.02334267040149393,True,52.53001342203548,58.18684999999999,76.17805999999993,15.816625116713354,16.461,31.6933,77.0626712184874,89.89065000000001,173.95705999999996,76.7734375,1.282623291015625,2.3859031200408936
cruise,49,aggressive,,200,8447,1.0,0.0,0.023677045104770925,True,52.76486421214632,58.651999999999994,76.76653999999986,15.646021664496272,16.321,31.55539999999999,76.99473387001302,89.4863,157.30733999999964,77.48046875,1.300835132598877,2.397681474685669
cruise,50,aggressive,,200,8523,1.0,0.0,0.02346591575736243,True,52.77149747741406,59.62099999999999,75.73880000000008,15.957983925847707,16.680999999999994,32.05660000000001,77.29771829168133,90.1191,170.76380000000023,77.5078125,1.2661592960357666,2.377397060394287
cruise,51,aggressive,,200,8609,1.0,0.0,0.02323150191659891,True,52.30791694738065,57.579,74.62632,15.924682889998838,16.6116,32.09772,76.74815692879545,89.8,156.77812,77.02734375,1.21384596824646,2.3811628818511963
cruise,52,aggressive,,200,8528,1.0,0.0,0.02345215759849906,True,52.246906660412755,57.29114999999998,73.73952999999989,15.917446411819888,16.57399999999999,31.486569999999997,76.8497216228893,89.1655,166.06454999999886,77.39453125,1.1753730773925781,2.3608014583587646
cruise,53,aggressive,,200,8715,1.0,0.0,0.022948938611589215,True,52.331860814687325,57.19469999999998,119.8797200000034,16.05558267355135,16.501,31.82720000000001,76.9474361445783,89.90599999999999,175.48546000000044,76.796875,1.2679831981658936,2.434464693069458
cruise,54,aggressive,,200,8525,1.0,0.0,0.02346041055718475,True,58.01537900293255,76.995,187.633,16.728409501466277,18.861199999999986,94.64068000000091,84.88628903225806,114.33019999999998,230.63116000000014,75.66796875,1.3489136695861816,2.596484422683716
